created_at;entry_id;field1;field2;field3;field4;latitude;longitude;elevation;status
2026-03-26T13:29:23+07:00;146;19.69;27.82;28.8;22.31;;;;
2026-03-26T13:29:40+07:00;147;19.75;25.45;29.2;22.31;;;;
2026-03-26T13:30:10+07:00;148;19.69;25.91;28.8;22.31;;;;
2026-03-26T13:30:39+07:00;149;19.69;25.18;28.9;22.31;;;;
2026-03-26T13:30:56+07:00;150;19.69;25.32;28.9;22.31;;;;
2026-03-26T13:31:29+07:00;151;19.75;25.71;28.9;22.31;;;;
2026-03-26T13:31:58+07:00;152;19.75;25.05;28.8;22.31;;;;
2026-03-26T13:32:27+07:00;153;19.75;26.96;28.8;22.31;;;;
2026-03-26T13:32:56+07:00;154;19.75;25.84;28.9;22.31;;;;
2026-03-26T13:33:15+07:00;155;19.75;25.78;28.9;22.31;;;;
2026-03-26T13:33:31+07:00;156;19.75;26.24;29;22.31;;;;
2026-03-26T13:34:05+07:00;157;19.75;26.83;28.9;22.31;;;;
2026-03-26T13:34:34+07:00;158;19.75;27.29;28.7;22.38;;;;
2026-03-26T13:34:52+07:00;159;19.75;25.84;29;22.38;;;;
2026-03-26T13:35:36+07:00;160;19.75;25.32;29;22.31;;;;
2026-03-26T13:35:52+07:00;161;19.69;25.84;28.9;22.31;;;;
2026-03-26T13:36:21+07:00;162;19.75;25.51;28.8;22.38;;;;
2026-03-26T13:36:51+07:00;163;19.75;25.38;28.9;22.38;;;;
2026-03-26T13:37:40+07:00;164;19.75;25.58;29;22.38;;;;
2026-03-26T13:38:11+07:00;165;19.75;25.25;28.8;22.38;;;;
2026-03-26T13:38:40+07:00;166;19.75;25.78;28.9;22.38;;;;
2026-03-26T13:38:57+07:00;167;19.75;25.65;28.9;22.38;;;;
2026-03-26T13:39:13+07:00;168;19.75;26.5;28.9;22.38;;;;
2026-03-26T13:39:42+07:00;169;19.75;24.59;28.8;22.38;;;;
2026-03-26T13:39:58+07:00;170;19.75;25.32;28.8;22.38;;;;
2026-03-26T13:40:30+07:00;171;19.69;26.31;28.7;22.38;;;;
2026-03-26T13:40:59+07:00;172;19.69;25.05;28.8;22.38;;;;
2026-03-26T13:41:33+07:00;173;19.75;25.71;28.8;22.38;;;;
2026-03-26T13:42:02+07:00;174;19.75;25.05;28.7;22.38;;;;
2026-03-26T13:42:18+07:00;175;19.75;24.46;28.9;22.38;;;;
2026-03-26T13:42:47+07:00;176;19.75;25.78;29;22.38;;;;
2026-03-26T13:43:16+07:00;177;19.75;24.79;29;22.38;;;;
2026-03-26T13:43:45+07:00;178;19.81;25.91;28.9;22.31;;;;
2026-03-26T13:44:14+07:00;179;19.75;25.71;28.7;22.38;;;;
2026-03-26T13:44:42+07:00;180;19.75;25.25;29;22.38;;;;
2026-03-26T13:45:13+07:00;181;19.75;25.58;28.9;22.31;;;;
2026-03-26T13:45:29+07:00;182;19.75;27.03;29.1;22.38;;;;
2026-03-26T13:46:00+07:00;183;19.75;24.53;28.6;22.38;;;;
2026-03-26T13:46:31+07:00;184;19.75;25.98;28.8;22.38;;;;
2026-03-26T13:46:47+07:00;185;19.75;26.24;28.9;22.38;;;;
2026-03-26T13:47:16+07:00;186;19.75;25.51;28.9;22.38;;;;
2026-03-26T13:47:33+07:00;187;19.75;26.44;28.9;22.38;;;;
2026-03-26T13:48:03+07:00;188;19.75;26.37;28.7;22.38;;;;
2026-03-26T13:48:32+07:00;189;19.75;27.03;28.6;22.38;;;;
2026-03-26T13:49:01+07:00;190;19.75;26.11;28.7;22.38;;;;
2026-03-26T13:49:32+07:00;191;19.75;24.92;29;22.38;;;;
2026-03-26T13:49:49+07:00;192;19.75;25.45;28.7;22.38;;;;
2026-03-26T13:50:18+07:00;193;19.75;25.65;28.8;22.38;;;;
2026-03-26T13:50:47+07:00;194;19.81;25.05;28.8;22.38;;;;
2026-03-26T13:51:03+07:00;195;19.81;25.18;28.6;22.38;;;;
2026-03-26T13:51:20+07:00;196;19.75;24.99;29;22.38;;;;
2026-03-26T13:51:49+07:00;197;19.75;25.32;28.8;22.38;;;;
2026-03-26T13:52:17+07:00;198;19.75;25.71;28.6;22.38;;;;
2026-03-26T13:52:46+07:00;199;19.75;25.05;28.8;22.38;;;;
2026-03-26T13:53:03+07:00;200;19.75;26.7;nan;22.38;;;;
2026-03-26T13:53:31+07:00;201;19.75;24.92;29;22.38;;;;
2026-03-26T13:54:00+07:00;202;19.75;24.79;28.8;22.44;;;;
2026-03-26T13:54:16+07:00;203;19.81;26.11;28.7;22.38;;;;
2026-03-26T13:54:46+07:00;204;19.81;25.84;28.7;22.38;;;;
2026-03-26T13:55:02+07:00;205;19.81;25.98;28.8;22.44;;;;
2026-03-26T13:55:33+07:00;206;19.81;25.65;28.8;22.44;;;;
2026-03-26T13:56:18+07:00;207;19.81;25.71;28.9;22.44;;;;
2026-03-26T13:56:34+07:00;208;19.75;24.99;28.8;22.44;;;;
2026-03-26T13:56:51+07:00;209;19.75;25.12;28.8;22.44;;;;
2026-03-26T13:57:20+07:00;210;19.81;26.37;28.9;22.44;;;;
2026-03-26T13:57:50+07:00;211;19.81;25.25;28.7;22.44;;;;
2026-03-26T13:58:36+07:00;212;19.81;27.1;28.6;22.44;;;;
2026-03-26T13:59:07+07:00;213;19.81;27.29;28.7;22.44;;;;
2026-03-26T13:59:23+07:00;214;19.75;26.64;28.7;22.44;;;;
2026-03-26T13:59:39+07:00;215;19.81;26.11;28.8;22.44;;;;
2026-03-26T13:59:56+07:00;216;19.81;25.05;28.6;22.44;;;;
2026-03-26T14:00:24+07:00;217;19.75;26.44;28.8;22.44;;;;
2026-03-26T14:00:41+07:00;218;19.81;25.71;28.4;22.5;;;;
2026-03-26T14:01:12+07:00;219;19.81;25.25;29;22.44;;;;
2026-03-26T14:01:41+07:00;220;19.81;25.84;28.6;22.44;;;;
2026-03-26T14:01:57+07:00;221;19.81;26.17;28.8;22.44;;;;
2026-03-26T14:02:28+07:00;222;19.75;24.79;28.6;22.44;;;;
2026-03-26T14:02:57+07:00;223;19.81;24.72;28.7;22.44;;;;
2026-03-26T14:03:25+07:00;224;19.81;25.45;28.7;22.44;;;;
2026-03-26T14:03:55+07:00;225;19.81;25.18;28.6;22.44;;;;
2026-03-26T14:04:12+07:00;226;19.81;27.49;28.8;22.44;;;;
2026-03-26T14:04:43+07:00;227;19.81;25.38;28.7;22.44;;;;
2026-03-26T14:04:59+07:00;228;19.81;25.45;28.7;22.44;;;;
2026-03-26T14:05:30+07:00;229;19.81;25.32;28.5;22.44;;;;
2026-03-26T14:05:46+07:00;230;19.81;24.72;28.7;22.44;;;;
2026-03-26T14:06:15+07:00;231;19.81;26.17;28.8;22.44;;;;
2026-03-26T14:06:32+07:00;232;19.81;26.9;28.8;22.44;;;;
2026-03-26T14:07:00+07:00;233;19.81;25.71;28.6;22.44;;;;
2026-03-26T14:07:31+07:00;234;19.81;26.44;28.6;22.44;;;;
2026-03-26T14:07:47+07:00;235;19.81;25.71;28.6;22.44;;;;
2026-03-26T14:08:16+07:00;236;19.81;25.98;28.7;22.44;;;;
2026-03-26T14:08:45+07:00;237;19.81;24.79;28.9;22.44;;;;
2026-03-26T14:09:14+07:00;238;19.81;26.9;28.5;22.44;;;;
2026-03-26T14:09:30+07:00;239;19.81;25.45;28.6;22.44;;;;
2026-03-26T14:10:18+07:00;240;19.81;25.91;28.6;22.5;;;;
2026-03-26T14:10:34+07:00;241;19.81;25.12;28.7;22.44;;;;
2026-03-26T14:11:03+07:00;242;19.81;26.37;28.6;22.5;;;;
2026-03-26T14:11:32+07:00;243;19.81;25.84;28.7;22.5;;;;
2026-03-26T14:11:48+07:00;244;19.81;24.53;28.6;22.44;;;;
2026-03-26T14:12:19+07:00;245;19.81;26.11;28.5;22.44;;;;
2026-03-26T14:12:50+07:00;246;19.88;26.64;28.7;22.44;;;;
2026-03-26T14:13:24+07:00;247;19.81;26.37;28.6;22.44;;;;
2026-03-26T14:13:40+07:00;248;19.81;24.99;28.6;22.5;;;;
2026-03-26T14:14:10+07:00;249;19.81;24.66;28.6;22.44;;;;
2026-03-26T14:14:39+07:00;250;19.81;25.71;28.6;22.44;;;;
2026-03-26T14:14:56+07:00;251;19.81;25.71;28.7;22.5;;;;
2026-03-26T14:15:12+07:00;252;19.81;25.84;28.8;22.44;;;;
2026-03-26T14:15:43+07:00;253;19.81;26.57;28.7;22.44;;;;
2026-03-26T14:16:00+07:00;254;19.81;25.45;28.8;22.44;;;;
2026-03-26T14:16:29+07:00;255;19.81;26.37;29;22.44;;;;
2026-03-26T14:17:00+07:00;256;19.81;25.45;28.9;22.44;;;;
2026-03-26T14:17:29+07:00;257;19.81;25.18;28.7;22.44;;;;
2026-03-26T14:18:00+07:00;258;19.81;25.18;28.6;22.44;;;;
2026-03-26T14:18:29+07:00;259;19.81;24.79;28.7;22.44;;;;
2026-03-26T14:18:58+07:00;260;19.88;25.51;28.6;22.44;;;;
2026-03-26T14:19:29+07:00;261;19.81;25.71;28.6;22.5;;;;
2026-03-26T14:19:59+07:00;262;19.81;25.05;28.6;22.44;;;;
2026-03-26T14:20:16+07:00;263;19.81;24.72;28.6;22.44;;;;
2026-03-26T14:20:32+07:00;264;19.81;25.12;28.7;22.44;;;;
2026-03-26T14:21:01+07:00;265;19.81;25.71;28.7;22.44;;;;
2026-03-26T14:21:30+07:00;266;19.81;26.11;28.8;22.5;;;;
2026-03-26T14:22:00+07:00;267;19.81;24.59;28.6;22.44;;;;
2026-03-26T14:22:29+07:00;268;19.88;24.46;28.9;22.44;;;;
2026-03-26T14:23:00+07:00;269;19.81;25.05;28.7;22.44;;;;
2026-03-26T14:23:16+07:00;270;19.81;25.78;28.7;22.44;;;;
2026-03-26T14:23:45+07:00;271;19.81;25.58;28.6;22.44;;;;
2026-03-26T14:24:02+07:00;272;19.81;25.65;28.8;22.44;;;;
2026-03-26T14:24:30+07:00;273;19.88;25.38;28.7;22.44;;;;
2026-03-26T14:24:47+07:00;274;19.81;25.65;28.7;22.44;;;;
2026-03-26T14:25:16+07:00;275;19.81;25.25;28.7;22.44;;;;
2026-03-26T14:25:44+07:00;276;19.81;24.72;nan;22.44;;;;
2026-03-26T14:26:13+07:00;277;19.81;25.32;28.6;22.44;;;;
2026-03-26T14:26:44+07:00;278;19.81;25.78;28.6;22.44;;;;
2026-03-26T14:27:01+07:00;279;19.81;24.79;28.7;22.44;;;;
2026-03-26T14:27:31+07:00;280;19.88;25.25;28.6;22.44;;;;
2026-03-26T14:28:00+07:00;281;19.81;24.85;28.6;22.5;;;;
2026-03-26T14:28:28+07:00;282;19.81;25.18;28.7;22.44;;;;
2026-03-26T14:28:57+07:00;283;19.81;24.85;28.6;22.44;;;;
2026-03-26T14:29:14+07:00;284;19.81;26.04;28.5;22.44;;;;
2026-03-26T14:29:49+07:00;285;19.81;24.85;28.6;22.44;;;;
2026-03-26T14:30:06+07:00;286;19.88;27.23;28.4;22.44;;;;
2026-03-26T14:30:35+07:00;287;19.81;25.25;28.7;22.44;;;;
2026-03-26T14:31:04+07:00;288;19.88;26.37;28.8;22.44;;;;
2026-03-26T14:31:33+07:00;289;19.81;25.38;28.8;22.44;;;;
2026-03-26T14:32:02+07:00;290;19.81;28.35;28.8;22.44;;;;
2026-03-26T14:32:31+07:00;291;19.81;25.45;28.7;22.44;;;;
2026-03-26T14:33:01+07:00;292;19.81;26.04;28.5;22.44;;;;
2026-03-26T14:33:17+07:00;293;19.81;24.72;28.8;22.44;;;;
2026-03-26T14:33:33+07:00;294;19.81;24.92;28.6;22.44;;;;
2026-03-26T14:33:49+07:00;295;19.81;24.85;28.7;22.44;;;;
2026-03-26T14:34:18+07:00;296;19.88;25.12;28.7;22.44;;;;
2026-03-26T14:34:47+07:00;297;19.88;25.32;28.8;22.44;;;;
2026-03-26T14:35:16+07:00;298;19.81;25.91;28.8;22.44;;;;
2026-03-26T14:35:31+07:00;299;19.88;25.45;28.6;22.44;;;;
2026-03-26T14:35:48+07:00;300;19.88;25.45;28.5;22.44;;;;
2026-03-26T14:36:17+07:00;301;19.88;25.71;28.7;22.44;;;;
2026-03-26T14:36:48+07:00;302;19.88;25.32;28.7;22.44;;;;
2026-03-26T14:37:05+07:00;303;19.81;26.9;28.7;22.44;;;;
2026-03-26T14:37:57+07:00;304;19.81;25.78;28.6;22.44;;;;
2026-03-26T14:38:28+07:00;305;19.88;26.17;28.7;22.44;;;;
2026-03-26T14:38:58+07:00;306;19.88;25.84;28.5;22.5;;;;
2026-03-26T14:39:14+07:00;307;19.81;26.77;28.5;22.44;;;;
2026-03-26T14:39:43+07:00;308;19.81;24.79;28.8;22.44;;;;
2026-03-26T14:40:12+07:00;309;19.88;26.57;28.5;22.44;;;;
2026-03-26T14:40:29+07:00;310;19.81;24.99;28.9;22.44;;;;
2026-03-26T14:40:58+07:00;311;19.81;26.57;28.6;22.44;;;;
2026-03-26T14:41:27+07:00;312;19.81;25.65;28.7;22.44;;;;
2026-03-26T14:41:59+07:00;313;19.81;26.04;28.6;22.44;;;;
2026-03-26T14:42:30+07:00;314;19.88;24.59;28.7;22.5;;;;
2026-03-26T14:42:46+07:00;315;19.88;25.65;28.7;22.44;;;;
2026-03-26T14:43:16+07:00;316;19.88;26.44;28.6;22.44;;;;
2026-03-26T14:43:32+07:00;317;19.88;25.05;28.4;22.44;;;;
2026-03-26T14:44:02+07:00;318;19.81;25.78;28.6;22.5;;;;
2026-03-26T14:44:33+07:00;319;19.81;25.78;28.6;22.44;;;;
2026-03-26T14:44:50+07:00;320;19.81;25.32;28.7;22.5;;;;
2026-03-26T14:45:21+07:00;321;19.81;25.91;28.7;22.44;;;;
2026-03-26T14:45:51+07:00;322;19.81;24.59;28.6;22.5;;;;
2026-03-26T14:46:37+07:00;323;19.88;26.5;28.7;22.5;;;;
2026-03-26T14:47:08+07:00;324;19.81;25.38;28.8;22.44;;;;
2026-03-26T14:47:57+07:00;325;19.88;24.59;28.6;22.44;;;;
2026-03-26T14:48:26+07:00;326;19.88;25.38;28.6;22.44;;;;
2026-03-26T14:48:56+07:00;327;19.88;26.31;28.8;22.44;;;;
2026-03-26T14:49:12+07:00;328;19.88;26.24;28.7;22.44;;;;
2026-03-26T14:50:00+07:00;329;19.88;25.45;28.6;22.44;;;;
2026-03-26T14:50:29+07:00;330;19.88;26.11;28.8;22.44;;;;
2026-03-26T14:51:05+07:00;331;19.81;26.57;28.6;22.44;;;;
2026-03-26T14:51:21+07:00;332;19.88;25.84;28.5;22.44;;;;
2026-03-26T14:51:52+07:00;333;19.88;24.92;28.6;22.44;;;;
2026-03-26T14:52:21+07:00;334;19.81;27.1;28.8;22.44;;;;
2026-03-26T14:52:37+07:00;335;19.88;24.72;28.7;22.44;;;;
2026-03-26T14:53:06+07:00;336;19.81;24.39;28.6;22.44;;;;
2026-03-26T14:53:35+07:00;337;19.81;25.18;28.7;22.44;;;;
2026-03-26T14:53:50+07:00;338;19.88;24.59;28.5;22.44;;;;
2026-03-26T14:54:07+07:00;339;19.88;26.04;28.7;22.44;;;;
2026-03-26T14:54:36+07:00;340;19.81;25.71;28.5;22.44;;;;
